VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
2,2016-03-01 02:52:02,2016-03-01 03:23:05,N,1,-73.95770263671875,40.722415924072266,-73.94659423828125,40.588848114013672,6,18.94,51.5,0.5,0.5,0,0,,0.3,52.8,2,1
2,2016-03-01 02:31:48,2016-03-01 02:49:02,N,1,-73.956924438476563,40.722896575927734,-73.992729187011719,40.752857208251953,1,4.83,17,0.5,0.5,5.5,0,,0.3,23.8,1,1
2,2016-03-01 02:42:46,2016-03-01 02:51:50,N,1,-73.954452514648438,40.730422973632813,-73.950775146484375,40.700508117675781,3,2.32,9.5,0.5,0.5,3.24,0,,0.3,14.04,1,1
2,2016-03-01 02:58:35,2016-03-01 02:58:40,N,3,-73.898231506347656,40.82135009765625,-73.898223876953125,40.821334838867188,1,.00,20,0.5,0,0,0,,0.3,20.8,2,1
2,2016-03-01 02:57:08,2016-03-01 02:57:55,N,1,-73.898216247558594,40.821399688720703,-73.898239135742187,40.82135009765625,1,.00,2.5,0.5,0.5,0,0,,0.3,3.8,2,1
2,2016-03-01 02:54:25,2016-03-01 03:01:53,N,1,-73.953559875488281,40.699718475341797,-73.950935363769531,40.710506439208984,2,1.49,7.5,0.5,0.5,1.76,0,,0.3,10.56,1,1
2,2016-03-01 02:55:21,2016-03-01 03:01:34,N,1,-73.886543273925781,40.747478485107422,-73.899116516113281,40.757335662841797,3,1.29,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2016-03-01 02:56:23,2016-03-01 03:03:00,N,1,-73.9351806640625,40.696891784667969,-73.932449340820313,40.676715850830078,1,1.57,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,2016-03-01 02:55:10,2016-03-01 03:03:37,N,1,-73.917800903320312,40.760536193847656,-73.939605712890625,40.763126373291016,1,1.50,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,2016-03-01 02:58:01,2016-03-01 03:02:24,N,1,-73.862892150878906,40.749858856201172,-73.864242553710938,40.755874633789063,1,.88,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2016-03-01 02:58:24,2016-03-01 03:04:06,N,1,-73.891311645507813,40.746936798095703,-73.872459411621094,40.746391296386719,1,1.05,6,0.5,0.5,1.46,0,,0.3,8.76,1,1
2,2016-03-01 02:58:57,2016-03-01 03:05:15,N,1,-73.84429931640625,40.721332550048828,-73.836441040039062,40.707656860351563,1,1.53,7,0.5,0.5,2.08,0,,0.3,10.38,1,1
2,2016-03-01 02:59:53,2016-03-01 03:06:48,N,1,-73.872817993164063,40.734451293945313,-73.851852416992188,40.721397399902344,1,2.27,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2016-03-01 02:58:20,2016-03-01 03:07:22,N,1,-73.957565307617188,40.722259521484375,-73.956275939941406,40.689300537109375,1,2.67,10,0.5,0.5,1,0,,0.3,12.3,1,1
2,2016-03-01 02:57:28,2016-03-01 03:07:20,N,1,-73.844276428222656,40.721305847167969,-73.760017395019531,40.723098754882813,1,4.91,15.5,0.5,0.5,2.2,0,,0.3,19,1,1
2,2016-03-01 02:59:53,2016-03-01 03:07:34,N,1,-73.844291687011719,40.721382141113281,-73.827125549316406,40.707965850830078,1,1.53,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,2016-03-01 02:59:30,2016-03-01 03:08:08,N,1,-73.957916259765625,40.670963287353516,-73.979377746582031,40.682685852050781,1,1.46,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,2016-03-01 02:58:31,2016-03-01 03:09:43,N,1,-73.958259582519531,40.708457946777344,-74.002357482910156,40.707366943359375,1,3.26,12.5,0.5,0.5,0,0,,0.3,13.8,2,1
2,2016-03-01 02:57:54,2016-03-01 03:09:33,N,1,-73.924781799316406,40.761703491210938,-73.955032348632813,40.735256195068359,5,3.08,12,0.5,0.5,0,0,,0.3,13.3,2,1
2,2016-03-01 02:58:09,2016-03-01 03:10:24,N,1,-73.915145874023438,40.742034912109375,-73.967422485351563,40.702152252197266,1,4.85,16,0.5,0.5,0,0,,0.3,17.3,2,1
2,2016-03-01 02:56:14,2016-03-01 03:10:47,N,1,-73.987129211425781,40.692291259765625,-74.024223327636719,40.620388031005859,2,6.74,21.5,0.5,0.5,0,0,,0.3,22.8,1,1
2,2016-03-01 02:57:07,2016-03-01 03:10:25,N,1,-73.844093322753906,40.721294403076172,-73.881126403808594,40.741992950439453,1,3.05,13,0.5,0.5,0,0,,0.3,14.3,2,1
2,2016-03-01 02:56:43,2016-03-01 03:11:39,N,1,-73.844192504882813,40.721134185791016,-73.866371154785156,40.691143035888672,1,3.16,13.5,0.5,0.5,2.96,0,,0.3,17.76,1,1
2,2016-03-01 02:52:52,2016-03-01 03:11:47,N,1,-73.946525573730469,40.749732971191406,-73.912895202636719,40.698173522949219,1,5.12,18,0.5,0.5,3.86,0,,0.3,23.16,1,1
2,2016-03-01 02:58:39,2016-03-01 03:12:39,N,1,-73.937705993652344,40.812595367431641,-73.995567321777344,40.759819030761719,1,5.84,17.5,0.5,0.5,0,0,,0.3,18.8,1,1
2,2016-03-01 02:56:19,2016-03-01 03:12:24,N,1,-73.9952392578125,40.646060943603516,-74.030174255371094,40.633537292480469,1,2.77,13.5,0.5,0.5,10,0,,0.3,24.8,1,1
2,2016-03-01 02:55:31,2016-03-01 03:14:43,N,1,-73.957695007324219,40.722431182861328,-73.985877990722656,40.740623474121094,1,5.28,18.5,0.5,0.5,0,0,,0.3,19.8,2,1
2,2016-03-01 02:57:12,2016-03-01 03:14:52,N,1,-73.961723327636719,40.716178894042969,-73.915603637695312,40.685775756835938,1,3.95,15,0.5,0.5,0,0,,0.3,16.3,2,1
2,2016-03-01 02:58:31,2016-03-01 03:14:05,N,1,-73.950752258300781,40.723663330078125,-73.913261413574219,40.695949554443359,1,3.41,13.5,0.5,0.5,0,0,,0.3,14.8,2,1
2,2016-03-01 02:58:09,2016-03-01 03:15:38,N,5,-73.986412048339844,40.669319152832031,-73.993560791015625,40.746498107910156,2,7.00,5,0,0,0,0,,0,5,2,2
