采集日期,平台名称,成交额(万),综合利率,投资人(人),借款周期(月),借款人(人),满标速度(分钟),累计贷款余额(万),净资金流入(万)
2017-05-19,合众金服,368.12,9.46%,0,10.26,4,2941.89,49048.35,376.54
2017-05-19,诚汇通,364.17,13.18%,350,8.14,23,225.48,80973.25,-64.25
2017-05-19,爱本地,362.31,11.46%,169,0.23,148,0.13,5559.87,-198.49
2017-05-19,大麦理财,360,10.03%,172,7.17,3,992.69,72852.35,-334.96
2017-05-19,壹心贷,359.2,9.03%,58,1.03,5,0,10314.5,361.93
2017-05-19,道口贷,352.18,8.12%,263,3.52,9,2.89,102161.8,-749.1
2017-05-19,广富宝,343.63,13.34%,138,5.46,43,37.32,8259.2,157
2017-05-19,超爱财,335,8.61%,109,5.64,15,100.18,21096.78,263.46
2017-05-19,沃时贷,325.58,13.52%,340,8.77,53,45.66,45831.02,122.01
2017-05-19,小狗钱钱,325,10.52%,178,2.43,11,430.33,13623.45,240.21
2017-05-19,合拍贷,324.8,11.97%,68,6.77,6,1070.41,19507.75,31.7
2017-05-19,森昊好时贷,323,8.62%,52,10.85,35,192.23,52575.88,0
2017-05-19,银狐财富,319.6,9.76%,18,5.05,6,1981.98,20546.98,227.77
2017-05-19,融租E投,310,7.86%,47,4.22,8,590.98,43592.71,-50.95
2017-05-19,前海惠农,310,8.61%,52,2.32,5,651.88,9173.32,104.29
2017-05-19,中潮金服,309,17.04%,112,10.37,9,24.55,11114.61,0
2017-05-19,诚信贷,307.87,11.13%,61,1.45,3,434.59,46033.64,-253.29
2017-05-19,金桥梁,300.92,13.21%,273,3.64,36,2.84,21344.6,68.64
2017-05-19,雪山贷,300,11.08%,176,6.17,4,1412.88,58035.88,-47.61
2017-05-19,中融宝,300,7.8%,60,4.67,3,6.15,41407.57,-86.61
2017-05-19,相融网,300,12%,56,0.81,3,8.77,8913.6,44.25
2017-05-19,天府财富,300,5.87%,71,3.33,1,635.63,46085.9,300.67
2017-05-19,寺库,299.5,9.38%,70,1.75,11,74.84,13828.39,194.26
2017-05-19,互贷网,286.67,11.21%,137,4.13,5,762.34,54863.6,188.99
2017-05-19,银巴克,285,10.18%,76,2.09,3,567.68,12926.67,86.55
2017-05-19,禧龙来,284,10.83%,23,1.01,19,1.09,7845.17,37.84
2017-05-19,易融恒信,274.4,14.38%,416,15.06,29,28.57,40254.32,154.16
2017-05-19,安心贷,272.62,9.32%,250,9.62,87,498.05,108709.7,49.18
2017-05-19,快快贷,270,9.48%,244,2.33,7,565.54,15614.85,25.06
2017-05-19,果树财富,266.63,12.59%,419,2.87,43,44.11,25973.14,76.15
2017-05-19,汇投网,263.55,10.24%,38,4.33,3,131.24,6817.43,0
2017-05-19,糖果金融,260.7,9.28%,9,4.10,19,1263.80,12037.23,56.93
2017-05-19,日日昌,250,8.8%,81,1.00,3,930.44,44374.67,177.24
2017-05-19,拉拉财富,250,8.4%,24,1.40,5,1390.70,19300,49.17
2017-05-19,普资华企,247,9.21%,339,5.58,3,277.51,71167.36,109.21
2017-05-19,后河财富,242.55,12.53%,222,9.86,49,73.23,48421.8,-69.61
2017-05-19,小猪罐子,241.11,11.46%,200,6.57,6,199.42,27303.29,-204.44
2017-05-19,禾泰财富,240.97,11.04%,30,2.08,12,235.15,6484.47,0
2017-05-19,洋葱先生,240.53,13.96%,2,10.25,212,0.01,43187.75,160.67
2017-05-19,金融社,238.8,11.78%,29,8.47,14,0.00,12089.69,105.18
2017-05-19,今日捷财,238.51,9.32%,0,8.53,10,0,29989.94,238.43
2017-05-19,筷来财 ,233.5,9.83%,55,4.22,4,521.00,12831.67,-41.65
2017-05-19,百利市,232,8.36%,37,4.27,6,665.38,7297,237
2017-05-19,星月创投,230.32,15.88%,46,12.43,4,79.97,20991.05,0
2017-05-19,城铁在融,229.5,14.84%,91,2.01,3,186.05,11584.78,0
2017-05-19,贵州网贷,228,19.62%,29,2.62,12,0.19,6521.12,92.62
2017-05-19,橙旗贷,224,11.55%,43,6.67,7,1909.52,14035.88,160.12
2017-05-19,投复利,222.5,14.96%,357,12.87,18,25.93,33166.76,47.8
2017-05-19,小微时贷,221.51,16.04%,242,7.41,25,3.17,19573.68,148.47
2017-05-19,豫商贷,220.6,15.11%,147,5.76,6,277.67,27362.34,-49.22
2017-05-19,云钱袋,217.8,8.15%,94,4.83,14,1141.21,50804.9,-263.04
2017-05-19,丰投网,208.78,8.38%,52,1.96,10,641.02,7938.03,119.65
2017-05-19,众易贷,207,14.69%,238,1.79,22,18.31,6872.68,51.15
2017-05-19,聚金资本,204.8,10.86%,299,1.49,3,128.63,16482.48,68.86
2017-05-19,邦帮堂,204.01,6.09%,68,2.94,3,571.08,144256.42,-1211.25
2017-05-19,小米贷,203.52,11.41%,74,1.74,2,877.66,5894.83,24.3
2017-05-19,财神在线,202.01,8.32%,21,2.49,5,0.00,5037.55,126.19
2017-05-19,亲亲小贷,201.87,14.62%,105,4.45,877,1.35,10787.26,0
2017-05-19,钱内助,200.22,9.99%,345,1.83,7,621.01,29894.86,-4.33
2017-05-19,工艺通,200,10.2%,49,12.00,1,1166.00,71598.68,-234.09
2017-05-19,华众金服,200,9%,79,1.00,4,0.23,6584.01,-50.38
2017-05-19,爱投金融,199.31,8.24%,74,4.08,10,1122.57,23910.53,0
2017-05-19,爱康金服,198,7%,88,2.03,1,1153.15,36060.79,-2229.79
2017-05-19,58财福,195.7,7.22%,27,1.53,3,47.94,6867.41,0
2017-05-19,微积金,193.8,11.28%,138,4.40,12,25.08,19557.6,0
2017-05-19,智融会,193,10.7%,49,1.45,4,2492.96,6884.96,176.14
2017-05-19,米利财富,190,24%,38,13.58,4,539.47,21291.85,159.51
2017-05-19,钱增增,189.6,14.45%,39,3.85,12,46.09,4519.35,113.89
2017-05-19,浙昌贷,189,11.96%,16,1.40,3,82.25,6851.96,0
2017-05-19,51帮你,188,11.89%,55,1.05,6,966.89,5175.57,77.8
2017-05-19,中兴财富,185.23,15.56%,181,7.59,28,3.14,18179.35,78.54
2017-05-19,连资贷,182.1,8%,0,1.44,19,2597.99,32799.34,-204.42
2017-05-19,信广立诚贷,181.8,8.58%,85,2.78,4,255.79,48334.4,0
2017-05-19,百财车贷,177.87,9.53%,76,2.32,23,1.98,10513.24,-59.16
2017-05-19,升值空间,176.75,11.74%,61,5.00,6,272.84,13262.37,0
2017-05-19,鱼猫金服,174.3,11%,47,3.37,4,2.51,4008.39,51.58
2017-05-19,存利网,173,10.25%,60,10.79,19,173.09,30278.68,70.47
2017-05-19,鄂汇金融,171,12.34%,186,3.69,7,177.73,14529.56,-10.26
2017-05-19,龙贷,168,8.76%,98,2.08,2,0.97,31836.93,0
2017-05-19,世纪金服,166,13.78%,41,5.33,5,34.80,12121.78,54.72
2017-05-19,融资易,165,11%,40,3.06,2,1153.81,11490.23,-352.28
2017-05-19,达人贷,164.98,14.06%,469,18.59,367,35.34,12651.95,87.98
2017-05-19,小树时代理财,157.13,16.76%,32,11.87,342,135.80,3129.82,162.16
2017-05-19,新安左右贷,155,8.2%,32,12.00,1,1.66,29854.95,93.69
2017-05-19,财火火,155,14%,52,1.39,2,0.12,2989.06,113.93
2017-05-19,万富宝,150.19,8.94%,18,3.08,6,1867.60,4093.4,139.97
2017-05-19,欧亚金融,150,11%,27,3.00,3,2292.67,7837.26,-150.25
